rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9721,10,42,299.0,3000,-2.9899999999999802,,
0.9441999999999999,20,86,299.0,6000,-2.9899999999999802,,
0.9162999999999999,30,130,299.0,9000,-2.9899999999999802,,
0.8883999999999999,40,177,299.0,12000,-2.9899999999999802,5.657901652966757e-06,992
0.8605,50,227,299.0,15000,-2.9899999999999802,1.8881730881048497e-06,2496
0.8326,60,276,299.0,18000,-2.9899999999999802,1.057306782570322e-06,3992
0.8047000000000001,70,325,299.0,21000,-2.9899999999999802,7.470665153164191e-07,5496
0.7768,80,374,299.0,24000,-2.9899999999999802,8.800019131172121e-07,6992
0.7489,90,424,299.0,27000,-2.9899999999999793,7.362884026917982e-07,8496
0.721,100,473,299.0,30000,-2.989999999999979,4.878922368334315e-07,9992
0.6930999999999999,110,522,299.0,33000,-2.989999999999979,4.52405444661963e-07,11496
0.6652000000000001,120,572,299.0,36000,-2.989999999999979,4.846737446939642e-07,12992
0.6373,130,622,299.0,39000,-2.989999999999979,4.540719746870536e-07,14496
0.6094000000000002,140,671,299.0,42000,-2.989999999999979,4.1079037416125175e-07,15992
0.5815000000000001,150,722,299.0,45000,-2.989999999999979,6.454343832729137e-07,17496
0.5536000000000001,160,772,299.0,48000,-2.989999999999979,1.8360969882280642e-06,18992
0.5257000000000001,170,822,299.0,51000,-2.989999999999979,7.830493871097133e-07,20496
0.4978,180,873,299.0,54000,-2.989999999999979,6.749949186257709e-07,21992
0.4699000000000002,190,924,299.0,57000,-2.989999999999979,1.159116898463708e-06,23496
0.44199999999999995,200,974,299.0,60000,-2.989999999999979,2.3073223616165706e-06,24992
0.41410000000000013,210,1025,299.0,63000,-2.989999999999979,1.9588055195640663e-06,26496
0.3861999999999999,220,1077,299.0,66000,-2.989999999999979,2.1472084839047056e-06,27992
0.35830000000000006,230,1128,299.0,69000,-2.989999999999979,3.6275297361498815e-06,29496
0.3304,240,1180,299.0,72000,-2.989999999999979,2.254866160456004e-06,30992
0.3025,250,1232,299.0,75000,-2.989999999999979,1.69711182707033e-06,32496
0.27460000000000007,260,1284,299.0,78000,-2.989999999999979,1.2017827373256296e-06,33992
0.24670000000000003,270,1336,299.0,81000,-2.989999999999979,1.4183528378453047e-06,35496
0.21880000000000022,280,1387,299.0,84000,-2.989999999999979,1.5645460536006794e-06,36992
0.19089999999999996,290,1439,299.0,87000,-2.989999999999979,3.452862998187811e-06,38496
0.16300000000000014,300,1490,299.0,90000,-2.989999999999979,1.8342968530760118e-06,39992
0.1350999999999999,310,1542,299.0,93000,-2.989999999999979,2.3470531971270248e-06,41496
0.10720000000000007,320,1594,299.0,96000,-2.989999999999979,1.535011335818126e-06,42992
0.07930000000000004,330,1646,299.0,99000,-2.989999999999979,5.276729467595942e-06,44496
0.07,340,1698,299.0,102000,-2.989999999999979,6.552358016165272e-06,45992
0.07,350,1751,299.0,105000,-2.989999999999979,3.51168831969062e-06,47496
0.07,360,1804,299.0,108000,-2.989999999999979,9.963123881107094e-05,48992
0.07,370,1857,299.0,111000,-2.989999999999979,7.209529144347471e-06,50496
0.07,380,1910,299.0,114000,-2.989999999999979,7.69007647249964e-06,51992
0.07,390,1963,299.0,117000,-2.989999999999979,2.8543642969225402e-05,53496
0.07,400,2016,299.0,120000,-2.989999999999979,5.012467738652049e-06,54992
0.07,410,2069,299.0,123000,-2.989999999999979,8.104429923605494e-06,56496
0.07,420,2122,299.0,126000,-2.989999999999979,3.466928671969072e-05,57992
0.07,430,2175,299.0,129000,-2.989999999999979,8.465535472623742e-06,59496
0.07,440,2229,299.0,132000,-2.989999999999979,1.1925662192879827e-05,60992
0.07,450,2281,299.0,135000,-2.989999999999979,1.3364917037961277e-05,62496
0.07,460,2333,299.0,138000,-2.989999999999979,2.2988056798567413e-05,63992
0.07,470,2386,299.0,141000,-2.989999999999979,1.4442325607433304e-05,65496
0.07,480,2438,299.0,144000,-2.989999999999979,8.509701842740469e-06,66992
0.07,490,2490,299.0,147000,-2.989999999999979,1.2880951203442237e-05,68496
0.07,500,2542,299.0,150000,-2.989999999999979,1.7716739080242405e-05,69992
0.07,510,2594,299.0,153000,-2.989999999999979,2.373518242393402e-05,71496
0.07,520,2647,299.0,156000,-2.989999999999979,1.739563163027924e-05,72992
0.07,530,2700,299.0,159000,-2.989999999999979,1.3810400787406252e-05,74496
0.07,540,2753,299.0,162000,-2.989999999999979,2.509685134555184e-05,75992
0.07,550,2806,299.0,165000,-2.989999999999979,1.0184817426761583e-05,77496
0.07,560,2859,299.0,168000,-2.989999999999979,1.7253229316338548e-05,78992
0.07,570,2911,299.0,171000,-2.989999999999979,1.3933699108292785e-05,80496
0.07,580,2963,299.0,174000,-2.989999999999979,1.501056840425008e-05,81992
0.07,590,3016,299.0,177000,-2.989999999999979,1.2660121683438774e-05,83496
0.07,600,3069,299.0,180000,-2.989999999999979,9.096539770325762e-06,84992
0.07,610,3122,299.0,183000,-2.989999999999979,9.934641980180459e-06,86496
0.07,620,3174,299.0,186000,-2.989999999999979,7.290801249837386e-06,87992
0.07,630,3227,299.0,189000,-2.989999999999979,1.4135444644125528e-05,89496
0.07,640,3279,299.0,192000,-2.989999999999979,1.9373601276129193e-05,90992
0.07,650,3332,299.0,195000,-2.989999999999979,6.2713668853575655e-06,92496
0.07,660,3384,299.0,198000,-2.989999999999979,5.83096229433977e-06,93992
